1.679999, -1, 0, 5, 0, 0.0700511310641852738420591162, 499.3464, -511.6669, -5.557111, 0.000483026, 0.02479935, 28.64418, 0.3020116, 0.2679502, 0.0001962442
 
1.689999, 1, -0.01, 5, 0, 0.0706705535742158152782, 491.4698, -511.6669, -5.557111, 0.000483026, 0.02479935, 28.41771, 0.3020116, 0.2679502, 0.0001962442
 
1.699999, -1, 0, 5, 0, 0.0712955323514765647944, 483.7256, -511.6669, -5.557111, 0.000483026, 0.02479935, 28.19326, 0.3020116, 0.2679502, 0.0001962442
 
1.709999, 1, -0.01, 5, 0, 0.071926023987629642826, 476.1108, -511.6669, -5.557111, 0.000483026, 0.02479935, 27.97079, 0.3020116, 0.2679502, 0.0001962442
 
1.719999, -1, 0, 5, 0, 0.0725622021160258441593408838, 468.6226, -511.6669, -5.557111, 0.000483026, 0.02479935, 27.75028, 0.3020116, 0.2679502, 0.0001962442
 
1.729999, 1, -0.01, 5, 0, 0.0732041390838950163003408838, 461.2584, -511.6669, -5.557111, 0.000483026, 0.02479935, 27.53169, 0.3020116, 0.2679502, 0.0001962442
 
1.739999, -1, 0, 5, 0, 0.0738519795856964201774591162, 454.0156, -511.6669, -5.557111, 0.000483026, 0.02479935, 27.31499, 0.3020116, 0.2679502, 0.0001962442
 
1.749999, 1, -0.01, 5, 0, 0.0745057670297670671886, 446.8917, -511.6669, -5.557111, 0.000483026, 0.02479935, 27.10015, 0.3020116, 0.2679502, 0.0001962442
 
1.759999, -1, 0, 5, 0, 0.0751656027022289174754, 439.8842, -511.6669, -5.557111, 0.000483026, 0.02479935, 26.88714, 0.3020116, 0.2679502, 0.0001962442
 
1.769999, 1, -0.01, 5, 0, 0.0758315589503113844604, 432.9905, -511.6669, -5.557111, 0.000483026, 0.02479935, 26.67593, 0.3020116, 0.2679502, 0.0001962442
 
1.779999, -1, 0, 5, 0, 0.0765039106934866442937408838, 426.2086, -511.6669, -5.557111, 0.000483026, 0.02479935, 26.46648, 0.3020116, 0.2679502, 0.0001962442
 
1.789999, 1, -0.01, 5, 0, 0.0771825132372958701303408838, 419.5362, -511.6669, -5.557111, 0.000483026, 0.02479935, 26.25878, 0.3020116, 0.2679502, 0.0001962442
 
1.799999, -1, 0, 5, 0, 0.0778675836234277363212, 412.9708, -511.6669, -5.557111, 0.000483026, 0.02479935, 26.05279, 0.3020116, 0.2679502, 0.0001962442
 
1.809999, 1, -0.01, 5, 0, 0.0785592086685575679122591162, 406.5103, -511.6669, -5.557111, 0.000483026, 0.02479935, 25.84848, 0.3020116, 0.2679502, 0.0001962442
 
1.819999, -1, 0, 5, 0, 0.0792574317810226656903408838, 400.1527, -511.6669, -5.557111, 0.000483026, 0.02479935, 25.64583, 0.3020116, 0.2679502, 0.0001962442
 
1.829999, 1, -0.01, 5, 0, 0.0799623687163911908094, 393.896, -511.6669, -5.557111, 0.000483026, 0.02479935, 25.44481, 0.3020116, 0.2679502, 0.0001962442
 
1.839999, -1, 0, 5, 0, 0.0806743233330267085830, 387.738, -511.6669, -5.557111, 0.000483026, 0.02479935, 25.2454, 0.3020116, 0.2679502, 0.0001962442
 
1.849999, 1, -0.01, 5, 0, 0.0813932232836998055886, 381.6769, -511.6669, -5.557111, 0.000483026, 0.02479935, 25.04756, 0.3020116, 0.2679502, 0.0001962442
 
1.859999, -1, 0, 5, 0, 0.0821192566712073329304, 375.7109, -511.6669, -5.557111, 0.000483026, 0.02479935, 24.85129, 0.3020116, 0.2679502, 0.0001962442
 
1.869999, 1, -0.01, 5, 0, 0.0828525971289002300892, 369.8379, -511.6669, -5.557111, 0.000483026, 0.02479935, 24.65655, 0.3020116, 0.2679502, 0.0001962442
 
1.879999, -1, 0, 5, 0, 0.0835931723095487942535408838, 364.0562, -511.6669, -5.557111, 0.000483026, 0.02479935, 24.46331, 0.3020116, 0.2679502, 0.0001962442
 
1.889999, 1, -0.01, 5, 0, 0.0843413005409635152216, 358.364, -511.6669, -5.557111, 0.000483026, 0.02479935, 24.27155, 0.3020116, 0.2679502, 0.0001962442
 
1.899999, -1, 0, 5, 0, 0.0850972133342784001899408838, 352.7596, -511.6669, -5.557111, 0.000483026, 0.02479935, 24.08125, 0.3020116, 0.2679502, 0.0001962442
 
1.909999, 1, -0.01, 5, 0, 0.0858608383422644698194, 347.2414, -511.6669, -5.557111, 0.000483026, 0.02479935, 23.8924, 0.3020116, 0.2679502, 0.0001962442
 
1.919999, -1, 0, 5, 0, 0.086632334728826317884, 341.8077, -511.6669, -5.557111, 0.000483026, 0.02479935, 23.70496, 0.3020116, 0.2679502, 0.0001962442
 
1.929999, 1, -0.01, 5, 0, 0.0874117169634100007016, 336.4568, -511.6669, -5.557111, 0.000483026, 0.02479935, 23.51891, 0.3020116, 0.2679502, 0.0001962442
 
1.939999, -1, 0, 5, 0, 0.0881994191293930116686591162, 331.1874, -511.6669, -5.557111, 0.000483026, 0.02479935, 23.33424, 0.3020116, 0.2679502, 0.0001962442
 
1.949998, 1, -0.01, 5, 0, 0.0889953544100994469614, 325.9977, -511.6669, -5.557111, 0.000483026, 0.02479935, 23.15092, 0.3020116, 0.2679502, 0.0001962442
 
1.959998, -1, 0, 5, 0, 0.0897997253777725033908, 320.8864, -511.6669, -5.557111, 0.000483026, 0.02479935, 22.96893, 0.3020116, 0.2679502, 0.0001962442
 
1.969998, 1, -0.01, 5, 0, 0.0906127056657629757432, 315.852, -511.6669, -5.557111, 0.000483026, 0.02479935, 22.78825, 0.3020116, 0.2679502, 0.0001962442
 
